Search results:

    angular git://github.com/angular/bower-angular.git
    angular-mocks git://github.com/angular/bower-angular-mocks.git
    angular-resource git://github.com/angular/bower-angular-resource.git
    angular-sanitize git://github.com/angular/bower-angular-sanitize.git
    angular-route git://github.com/angular/bower-angular-route.git
    angular-cookies git://github.com/angular/bower-angular-cookies.git
    angular-animate git://github.com/angular/bower-angular-animate.git
    angular-bootstrap git://github.com/angular-ui/bootstrap-bower.git
    angular-scenario git://github.com/angular/bower-angular-scenario.git
    angular-ui-router git://github.com/angular-ui/ui-router
    angular-touch git://github.com/angular/bower-angular-touch.git
    angular-ui-utils git://github.com/angular-ui/ui-utils.git
    angular-translate git://github.com/PascalPrecht/bower-angular-translate.git
    restangular git://github.com/mgonto/restangular
    angular-ui-select2 git://github.com/angular-ui/ui-select2.git
    angular-ui git://github.com/angular-ui/angular-ui.git
    angular-i18n git://github.com/angular/bower-angular-i18n.git
    angular-strap git://github.com/mgcrea/angular-strap.git
    ng-file-upload git://github.com/danialfarid/angular-file-upload-bower.git
    angular-translate-loader-static-files git://github.com/PascalPrecht/bower-angular-translate-loader-static-files.git
    angular-local-storage git://github.com/grevory/angular-local-storage.git
    angular-ui-sortable git://github.com/angular-ui/ui-sortable.git
    angular-moment git://github.com/urish/angular-moment.git
    angular-loading-bar git://github.com/chieffancypants/angular-loading-bar.git
    ng-grid git://github.com/angular-ui/ng-grid.git
    angular-loader git://github.com/angular/bower-angular-loader.git
    angulartics git://github.com/luisfarzati/angulartics.git
    angular-ui-bootstrap-bower git://github.com/angular-ui/bootstrap-bower
    angular-ui-bootstrap git://github.com/angular-ui/bootstrap.git
    angular-motion git://github.com/mgcrea/angular-motion.git
    angular-xeditable git://github.com/vitalets/angular-xeditable.git
    angular-bindonce git://github.com/Pasvaz/bindonce.git
    angular-ui-date git://github.com/angular-ui/ui-date.git
    angular-file-upload git://github.com/nervgh/angular-file-upload.git
    angular-cache git://github.com/jmdobry/angular-cache.git
    angular-gettext git://github.com/rubenv/angular-gettext.git
    textAngular git://github.com/fraywing/textAngular.git
    angular-ui-select git://github.com/angular-ui/ui-select.git
    angular-elastic git://github.com/monospaced/angular-elastic
    angular-translate-storage-cookie git://github.com/PascalPrecht/bower-angular-translate-storage-cookie.git
    angular-cookie git://github.com/ivpusic/angular-cookie.git
    angular-http-auth git://github.com/witoldsz/angular-http-auth.git
    angular-socket-io git://github.com/btford/angular-socket-io.git
    angular-grid git://github.com/angular-ui/ng-grid
    angular-unstable git://github.com/johannestroeger/bower-angular-unstable.git
    angular-spinner git://github.com/urish/angular-spinner.git
    angularjs-nvd3-directives git://github.com/cmaurer/angularjs-nvd3-directives.git
    angular-dragdrop git://github.com/codef0rmer/angular-dragdrop.git
    angular-busy git://github.com/cgross/angular-busy.git
    angular-dynamic-locale git://github.com/lgalfaso/angular-dynamic-locale
    angular-ui-ace git://github.com/angular-ui/ui-ace.git
    angular-ui-calendar git://github.com/angular-ui/ui-calendar.git
    angular-google-maps git://github.com/angular-ui/angular-google-maps.git
    angular-ui-tree git://github.com/JimLiu/angular-ui-tree.git
    angular-translate-loader-partial git://github.com/PascalPrecht/bower-angular-translate-loader-partial.git
    AngularJS-Toaster git://github.com/jirikavi/AngularJS-Toaster.git
    angular-translate-storage-local git://github.com/PascalPrecht/bower-angular-translate-storage-local.git
    angular-messages git://github.com/angular/bower-angular-messages.git
    angular-translate-interpolation-messageformat git://github.com/PascalPrecht/bower-angular-translate-interpolation-messageformat.git
    ng-file-upload-shim git://github.com/danialfarid/angular-file-upload-shim-bower.git
    angular-bootstrap-colorpicker git://github.com/buberdds/angular-bootstrap-colorpicker.git
    angular-base64 git://github.com/ninjatronic/angular-base64.git
    angular-chosen-localytics git://github.com/localytics/angular-chosen.git
    angular-carousel git://github.com/revolunet/angular-carousel.git
    angular-translate-loader-url git://github.com/PascalPrecht/bower-angular-translate-loader-url.git
    angularfire git://github.com/firebase/angularFire
    angular-promise-tracker git://github.com/ajoslin/angular-promise-tracker
    angular-growl git://github.com/marcorinck/angular-growl.git
    angular-ui-codemirror git://github.com/angular-ui/ui-codemirror.git
    angularjs git://github.com/angular/bower-angular.git
    angular-md5 git://github.com/gdi2290/angular-md5.git
    angular-snap git://github.com/jtrussell/angular-snap.js-bower.git
    angularLocalStorage git://github.com/agrublev/angularLocalStorage.git
    angular-google-chart git://github.com/bouil/angular-google-chart.git
    angular-ui-tinymce git://github.com/angular-ui/ui-tinymce.git
    angular-translate-handler-log git://github.com/PascalPrecht/bower-angular-translate-handler-log.git
    angularytics git://github.com/mgonto/angularytics.git
    isteven-angular-multiselect git://github.com/isteven/angular-multi-select.git
    angular-bootstrap-datetimepicker git://github.com/dalelotts/angular-bootstrap-datetimepicker
    angular-truncate git://github.com/sparkalow/angular-truncate.git
    angular-bacon git://github.com/lauripiispanen/angular-bacon.git
    angular-aria git://github.com/angular/bower-angular-aria.git
    angular-facebook git://github.com/Ciul/Angularjs-Facebook.git
    angular-wizard git://github.com/mgonto/angular-wizard
    angular-gestures git://github.com/wzr1337/bower-angular-gestures.git
    venturocket-angular-slider git://github.com/Venturocket/angular-slider.git
    angular-modal git://github.com/btford/angular-modal.git
    angular-leaflet-directive git://github.com/tombatossals/angular-leaflet-directive
    angular-easyfb git://github.com/pc035860/angular-easyfb.git
    angular-foundation git://github.com/pineconellc/angular-foundation-bower.git
    angular-highlightjs git://github.com/pc035860/angular-highlightjs.git
    angular-scroll git://github.com/oblador/angular-scroll.git
    angularAMD git://github.com/marcoslin/bower-angularAMD.git
    angular-dialog-service git://github.com/m-e-conroy/angular-dialog-service
    angular-ui-map git://github.com/angular-ui/ui-map.git
    angular-raven git://github.com/gdi2290/angular-raven.git
    angular-underscore git://github.com/floydsoft/angular-underscore.git
    angular-bootstrap-switch git://github.com/frapontillo/angular-bootstrap-switch.git
    angular-ui-select2-sortable git://github.com/Taranys/ui-select2-sortable.git
    angular-intro.js git://github.com/mendhak/angular-intro.js.git
    angular-ui-slider git://github.com/angular-ui/ui-slider.git
    angular-timer git://github.com/siddii/angular-timer.git
    angular-material git://github.com/angular/bower-material.git
    angular-lodash git://github.com/cabrel/angular-lodash.git
    angular-gravatar git://github.com/wallin/angular-gravatar.git
    angular-masonry git://github.com/passy/angular-masonry.git
    angularjs-file-upload git://github.com/danialfarid/angular-file-upload-bower.git
    angular-flash git://github.com/wmluke/angular-flash.git
    angular-growl-v2 git://github.com/JanStevens/angular-growl-2.git
    angular-markdown-directive git://github.com/btford/angular-markdown-directive.git
    angular-recaptcha git://github.com/VividCortex/angular-recaptcha
    angular-breadcrumb git://github.com/ncuillery/angular-breadcrumb.git
    angular-webstorage git://github.com/fredricrylander/angular-webstorage.git
    ui-router git://github.com/angular-ui/ui-router.git
    angularjs-rails-resource git://github.com/FineLinePrototyping/dist-angularjs-rails-resource
    danialfarid-angular-file-upload git://github.com/danialfarid/angular-file-upload.git
    angular-typeahead git://github.com/Siyfion/angular-typeahead.git
    angular-hammer git://github.com/monospaced/angular-hammer.git
    angular-xml git://github.com/johngeorgewright/angular-xml.git
    angular-gridster git://github.com/ManifestWebDesign/angular-gridster.git
    angular-once git://github.com/tadeuszwojcik/angular-once.git
    angular-ie7-support git://github.com/johngeorgewright/angular-ie7-support.git
    angular-google-analytics git://github.com/revolunet/angular-google-analytics.git
    angular-ui-grid git://github.com/angular-ui/bower-ui-grid.git
    ui-bootstrap git://github.com/angular-ui/bootstrap.git
    angular-toggle-switch git://github.com/cgarvis/angular-toggle-switch.git
    angular-toastr git://github.com/Foxandxss/angular-toastr.git
    angularjs-geolocation git://github.com/arunisrael/angularjs-geolocation.git
    angular-resource-unstable git://github.com/johannestroeger/bower-angular-resource-unstable.git
    ng-debounce git://github.com/shahata/angular-debounce.git
    angular-uuid4 git://github.com/monicao/angular-uuid4.git
    angular-latest git://github.com/angular/angular.js.git
    angular-slick git://github.com/vasyabigi/angular-slick.git
    angular-leaflet git://github.com/tombatossals/angular-leaflet-directive.git
    angular-placeholder-shim git://github.com/urish/angular-placeholder-shim.git
    angular-recursion git://github.com/marklagendijk/angular-recursion.git
    angular-route-segment git://github.com/artch/angular-route-segment.git
    angular-payments git://github.com/laurihy/angular-payments.git
    angular-pusher git://github.com/doowb/angular-pusher.git
    angular-filter git://github.com/a8m/angular-filter.git
    angular-placeholders git://github.com/joshdmiller/angular-placeholders.git
    angular-spectrum-colorpicker git://github.com/Jimdo/angular-spectrum-colorpicker.git
    ngmap git://github.com/allenhwkim/angularjs-google-maps.git
    angular-blocks git://github.com/wmluke/angular-blocks.git
    angular-charts git://github.com/chinmaymk/angular-charts.git
    angular-schema-form git://github.com/Textalk/angular-schema-form.git
    angular-utils-pagination git://github.com/michaelbromley/angularUtils-pagination.git
    angular-inview git://github.com/thenikso/angular-inview
    angular-smart-table git://github.com/lorenzofox3/Smart-Table.git
    angular-nouislider git://github.com/vasyabigi/angular-nouislider.git
    angular-marked git://github.com/Hypercubed/angular-marked.git
    angular-redactor git://github.com/TylerGarlick/angular-redactor.git
    angular-agility git://github.com/AngularAgility/AngularAgility.git
    angular-underscore-module git://github.com/andresesfm/angular-underscore-module.git
    angular-kendo-ui git://github.com/kendo-labs/angular-kendo.git
    angular-nvd3 git://github.com/krispo/angular-nvd3.git
    angular-momentjs git://github.com/gdi2290/angular-momentjs.git
    angular-block-ui git://github.com/McNull/angular-block-ui.git
    mobile-angular-ui git://github.com/mcasimir/mobile-angular-ui.git
    AngularGM git://github.com/dylanfprice/angular-gm-bower.git
    angular-datepicker git://github.com/g00fy-/angular-datepicker.git
    ui.bootstrap git://github.com/angular-ui/bootstrap
    neosavvy-javascript-angular-core git://github.com/neosavvyinc/bower-neosavvy-javascript-angular-core.git
    angular-contenteditable git://github.com/akatov/angular-contenteditable.git
    angular-deckgrid git://github.com/akoenig/angular-deckgrid.git
    angular-datatables git://github.com/l-lin/angular-datatables.git
    ui-utils git://github.com/angular-ui/ui-utils.git
    angular-data git://github.com/jmdobry/angular-data.git
    angularjs-toaster git://github.com/jirikavi/AngularJS-Toaster.git
    angular-tree-control git://github.com/wix/angular-tree-control.git
    angularjs-utilities git://github.com/realcrowd/angularjs-utilities.git
    angular-upload git://github.com/leon/angular-upload.git
    angular-rangeslider git://github.com/danielcrisp/angular-rangeslider.git
    angular-pines-notify git://github.com/mykabam/angular-pines-notify.git
    bootstrap-ui git://github.com/angular-ui/bootstrap
    angular-ui-router.stateHelper git://github.com/marklagendijk/ui-router.stateHelper.git
    angularjs-scope.safeapply git://github.com/yearofmoo/AngularJS-Scope.SafeApply.git
    angular-spin git://github.com/zerko/angular-spin.git
    angular-fontawesome git://github.com/picardy/angular-fontawesome.git
    angular-complete git://github.com/jpillora/bower-angular
    unstable-angular-complete git://github.com/ryanzec/bower-unstable-angular-complete.git
    angular-mousewheel git://github.com/monospaced/angular-mousewheel.git
    angular-slugify git://github.com/paulsmith/angular-slugify.git
    angular-collection git://github.com/tomkuk/angular-collection.git
    angularjs-scroll-glue git://github.com/wishbear/angularjs-scroll-glue.git
    angular-debounce git://github.com/rubenv/angular-debounce.git
    angular-multi-select git://github.com/isteven/angular-multi-select.git
    angular-notify-toaster git://github.com/jirikavi/AngularJS-Toaster
    pusher-angular git://github.com/pusher/pusher-angular.git
    angular-summernote git://github.com/outsideris/angular-summernote.git
    angular-bind-html-compile git://github.com/incuna/angular-bind-html-compile.git
    angular-context-menu git://github.com/tilt/angular-context-menu.git
    angular-reverse-url git://github.com/incuna/angular-reverse-url.git
    angular-auto-value git://github.com/johngeorgewright/angular-auto-value.git
    angular-dropzone git://github.com/sandbochs/angular-dropzone.git
    angular-growl-notifications git://github.com/jvandemo/angular-growl-notifications.git
    angular-linkify git://github.com/scottcorgan/angular-linkify.git
    angularjs-modal-service git://github.com/Fundoo-Solutions/angularjs-modal-service.git
    angular-encode-uri git://github.com/rubenv/angular-encode-uri.git
    angular-input-date git://github.com/betsol/angular-input-date.git
    angular-form-for git://github.com/bvaughn/angular-form-for.git
    angular-bootstrap-show-errors git://github.com/paulyoder/angular-bootstrap-show-errors.git
    angular-bootstrap-toggle-switch git://github.com/JumpLink/angular-toggle-switch.git
    angular-bootstrap-jbruni git://github.com/jbruni/bootstrap-bower-jbruni.git
    angularjs-truncate git://github.com/sparkalow/angular-truncate.git
    angular-models git://github.com/octanner/angular-models.git
    angular-ravenjs git://github.com/incuna/angular-raven.git
    angularjs-dropdown-multiselect git://github.com/dotansimha/angularjs-dropdown-multiselect.git
    pubnub-angular git://github.com/pubnub/pubnub-angular.git
    angular-linkto git://github.com/octanner/angular-linkto.git
    angular-medium-editor git://github.com/thijsw/angular-medium-editor.git
    angular-specs git://github.com/Mindspace/bower-angular-specs.git
    angular-youtube-mb git://github.com/brandly/angular-youtube-embed.git
    angular-css-injector git://github.com/Yappli/angular-css-injector.git
    angularitics git://github.com/luisfarzati/angulartics
    angular-locale-bundles git://github.com/AresProjectManagement/angular-locale-bundles.git
    angular-isotope git://github.com/mankindsoftware/angular-isotope
    angular-uuid-service git://github.com/daniellmb/angular-uuid-service.git
    angular-lifecycle git://github.com/octanner/angular-lifecycle
    angular-bootstrap-slider git://github.com/seiyria/angular-bootstrap-slider.git
    angular-localForage git://github.com/ocombe/angular-localForage.git
    angular-devise git://github.com/cloudspace/angular_devise.git
    angular-bootstrap-nav-tree git://github.com/nickperkinslondon/angular-bootstrap-nav-tree
    angular-classy git://github.com/davej/angular-classy
    angular-segmentio git://github.com/arnaudbreton/angular-segmentio.git
    angular-inflector git://github.com/iobaixas/angular-inflector.git
    angular-token-auth git://github.com/incuna/angular-token-auth.git
    djangular-rest-framework git://github.com/incuna/djangular-rest-framework.git
    auth0-angular git://github.com/auth0/auth0-angular.git
    angular-readable-time git://github.com/wildlyinaccurate/angular-readable-time.git
    angular-ext-q git://github.com/incuna/angular-ext-q.git
    tc-angular-chartjs git://github.com/carlcraig/tc-angular-chartjs.git
    angular-filters git://github.com/frapontillo/angular-filters.git
    famous-angular git://github.com/Famous/famous-angular.git
    angular-ladda git://github.com/remotty/angular-ladda.git
    angular-notify git://github.com/cgross/angular-notify.git
    angularjs-slider git://github.com/rzajac/angularjs-slider.git
    angular-money-directive git://github.com/fiestah/angular-money-directive.git
